Tag	Tag File Name	Seq	Folder	Priority	Title	Author	Body
Design	design.html	3	quotes	999999	A working simple system	John Gall	"A complex system that works is invariably found to have evolved from a simple system that worked. The inverse proposition also appears to be true. A complex system designed from scratch never works and cannot be made to work. You have to start over beginning with a working simple system. 
"
Murder	murder.html	3	quotes	999999	An Irreplaceable Compact	Edmund Crispin	"Euthanasia, Cadogan thought: they all regard it as that, and not as wilful slaughter, not as the violent cutting-off of an irreplaceable compact of passion and desire and affection and will; not as a thrust into unimagined and illimitable darkness.
"
Project Management	project-management.html	3	quotes	999999	Belief in Impossible Things	Tom DeMarco and Timothy Lister	"There is probably no job on earth for which an ability to believe six impossible things before breakfast is more of a requirement than software project management. We are routinely expected to work ourselves into a state of believing in a deadline, a budget, or a performance factor that time subsequently may prove to be impossible.
"
TecFiction	tecfiction.html	3	quotes	999999	An Irreplaceable Compact	Edmund Crispin	"Euthanasia, Cadogan thought: they all regard it as that, and not as wilful slaughter, not as the violent cutting-off of an irreplaceable compact of passion and desire and affection and will; not as a thrust into unimagined and illimitable darkness.
"
USA	usa.html	3	quotes	999999	The American cult of the individual	Wade Davis	"The American cult of the individual denies not just community but the very idea of society. No one owes anything to anyone. All must be prepared to fight for everything: education, shelter, food, medical care. 
"
USA	usa.html	3	quotes	999999	A Coke is a Coke	Andy Warhol	"What's great about this country is that America started the tradition where the richest consumers buy essentially the same things as the poorest. You can be watching TV and see Coca-Cola, and you know that the President drinks Coke, Liz Taylor drinks Coke, and just think, you can drink Coke, too. A Coke is a Coke and no amount of money can get you a better Coke than the one the bum on the corner is drinking. All the Cokes are the same and all the Cokes are good. Liz Taylor knows it, the President knows it, the bum knows it, and you know it.
"
USA	usa.html	3	quotes	999999	The Credibility of a Comedian	Jon Stewart	"The embarrassment is that I'm given credibility in this world because of the disappointment that the public has in what the news media does. 
"
USA	usa.html	3	quotes	999999	The Cult of Ignorance	Isaac Asimov	"There is a cult of ignorance in the United States, and there always has been. The strain of anti-intellectualism has been a constant thread winding its way through our political and cultural life, nurtured by the false notion that democracy means that 'my ignorance is just as good as your knowledge.'
"
USA	usa.html	3	quotes	999999	Every Third American	H. L. Mencken	"We are, in fact, a nation of evangelists; every third American devotes himself to improving and lifting up his fellow citizens, usually by force; the messianic delusion is our national disease.
"
USA	usa.html	3	quotes	999999	The Extent of Freedom in All of its Dimensions	Anthony M. Kennedy	"The nature of injustice is that we may not always see it in our own times. The generations that wrote and ratified the Bill of Rights and the Fourteenth Amendment did not presume to know the extent of freedom in all of its dimensions, and so they entrusted to future generations a charter protecting the right of all persons to enjoy liberty as we learn its meaning.
"
USA	usa.html	3	quotes	999999	Ism-mania	Robert Riskin	"Grandpa: Penny why don't you write a play about ism-mania? 

Penny: Ism-mania? 

Grandpa: Yeah, sure, you know -- communism, fascism, voodooism. Everybody's got an ism these days. 

Penny: I feel like I've got this itch or something. 

Grandpa: It's just as catching. When things go a little bad nowadays, you go out and get yourself an ism and you're in business. 

Penny: I've got it! It might help Cynthia to have an ism in the monastery! 

Grandpa: It might at that. Only give her Americanism. Let her know something about Americans: John Paul Jones, Patrick Henry, Samuel Adams, Washington, Jefferson, Monroe, Lincoln, Grant, Lee, Edison, Mark Twain. When things got tough for those boys, they didn't run around looking for isms. Lincoln said, ""With malice toward none, with charity for all."" Nowadays they say, ""Think the way I do, or I'll bomb the daylights out of you."""
USA	usa.html	3	quotes	999999	The Makers of Things	Barack Obama	"In reaffirming the greatness of our nation, we understand that greatness is never a given. It must be earned. Our journey has never been one of shortcuts or settling for less. It has not been the path for the faint-hearted -- for those who prefer leisure over work, or seek only the pleasures of riches and fame. Rather, it has been the risk-takers, the doers, the makers of things -- some celebrated but more often men and women obscure in their labor, who have carried us up the long, rugged path towards prosperity and freedom.
"
art	art.html	3	quotes	999999	Art and Spirit	Ken Wilber	"And whatever we mean by the word 'spirit' -- let us just say, with Tillich, that it involves for each of us our ultimate concern -- it is in that simple awestruck moment when great art enters you and changes you, that spirit shines in this world just a little more brightly than it did the moment before.
"
art	art.html	3	quotes	999999	Art has to transform life itself	Lawrence Ferlinghetti	"I really believe that art is capable of the total transformation of the world, and of life itself, and nothing less is really acceptable. So I mean if art is going to have any excuse for -- beyond being a leisure-class plaything -- it has to transform life itself.
"
art	art.html	3	quotes	999999	Art is a Hammer	Bertolt Brecht	"Art is not a mirror held up to reality, but a hammer with which to shape it.
"
art	art.html	3	quotes	999999	Art is a lie that makes us realize truth	Pablo Picasso	"We all know that Art is not truth. Art is a lie that makes us realize truth, at least the truth that is given us to understand. The artist must know the manner whereby to convince others of the truthfulness of his lies. If he only shows in his work that he has searched, and re-searched, for the way to put over lies, he would never accomplish anything.
"
art	art.html	3	quotes	999999	Art, Science and Empire	William Blake	"The foundation of empire is art and science. Remove them or degrade them, and the empire is no more. Empire follows art and not vice versa as Englishmen suppose.
"
art	art.html	3	quotes	999999	Cinema was about revelation	Martin Scorsese	"For me, for the filmmakers I came to love and respect, for my friends who started making movies around the same time that I did, cinema was about revelation — aesthetic, emotional and spiritual revelation. It was about characters — the complexity of people and their contradictory and sometimes paradoxical natures, the way they can hurt one another and love one another and suddenly come face to face with themselves.
"
art	art.html	3	quotes	999999	Couldn’t everyone’s life become a work of art?	Michel Foucault	"What strikes me is the fact that in our society, art has become something which is related only to objects and not to individuals, or to life. That art is something which is specialized or which is done by experts who are artists. But couldn't everyone's life become a work of art? Why should the lamp or the house be an art object, but not our life?
"
art	art.html	3	quotes	999999	Critical Thinking Followed by Action	Dalai Lama	"Interviewer: What's the most important meditation we can do now? 

Dalai Lama: Critical thinking, followed by action. Discern what your world is. Know the plot, the scenario of this human drama. And then figure out where your talents might fit in to make a better world."
art	art.html	3	quotes	999999	Deeper convictions of the heart	Leonard Cohen	"Does he learn anything from writing them [his songs]? Does he work out ideas that way? 

""I think you work out something. I wouldn't call them ideas. I think ideas are what you want to get rid of. I don't really like songs with ideas. They tend to become slogans. They tend to be on the right side of things: ecology or vegetarianism or antiwar. All these are wonderful ideas but I like to work on a song until those slogans, as wonderful as they are and as wholesome as the ideas they promote are, dissolve into deeper convictions of the heart. I never set out to write a didactic song. It's just my experience. All I've got to put in a song is my own experience."""
art	art.html	3	quotes	999999	Design is not Appearance	Milton Glaser	"Design is not appearance, but a way of thinking about information and conveying ideas to others. That’s really what I do. I am so interested in having ideas. That idea that your role in the culture is to inform and delight is so sweet. Not to persuade, not to persuade!
"
art	art.html	3	quotes	999999	The Divine Gift of Purely Nonsensical Speech and Action	Edmund Crispin	"Fen sighed. ""We are all becoming standardized and normal, Nigel. The divine gift of purely nonsensical speech and action is in atrophy. Would you believe it, a pupil of mine had the impertinence the other day to tick me off for reading him passages regarding the Fimble Fowl and the Quangle-Wangle as an illustration of pure poetic inventiveness; I put him in his place all right."" In the semi-darkness his eye became momentarily lambent with remembered satisfaction. ""But there's no eccentricity nowadays -- none at all.""
"
art	art.html	3	quotes	999999	The divine literatus	Walt Whitman	"View'd, to-day, from a point of view sufficiently over-arching, the problem of humanity all over the civilized world is social and religious, and is to be finally met and treated by literature. The priest departs, the divine literatus comes. Never was anything more wanted than, to-day, and here in the States, the poet of the modern is wanted, or the great literatus of the modern.
"
art	art.html	3	quotes	999999	Dreams Come True	John Updike	"Dreams come true. Without that possibility, nature would not incite us to have them.
"
art	art.html	3	quotes	999999	Enemies of Art and Artist	Henry Miller	"Men are not suffering from the lack of good literature, good art, good theatre, good music, but from that which has made it impossible for these to become manifest. In short, they are suffering from the silent, shameful conspiracy (the more shameful since it is unacknowledged) which has bound them together as enemies of art and artist. They are suffering from the fact that art is not the primary moving force in their lives. They are suffering from the act, repeated daily, of keeping up the pretense that they can go their way, lead their lives, without art.
"
art	art.html	3	quotes	999999	Excitement from Art	Anthony Burgess	"The excitement we derive from a work of art is mostly the excitement of seeing connections that did not exist before, of seeing quite different aspects of life unified through a pattern.
"
art	art.html	3	quotes	999999	God and Morality	Frans de Waal	"It wasn't God who introduced us to morality; rather, it was the other way around. God was put into place to help us live the way we felt we ought to.
"
art	art.html	3	quotes	999999	History as Postmodern Collage	Joe Boyd	"Sitting in Princeteon listening to old records, we became obsessed with the past. We tried to pierce the veil of time and grasp what it sounded, felt, looked and smelled like. In Harvard Square and London I met many with similar preoccupations; they didn't seem unusual at all. When old blues singers began to reappear, it delivered a rush of excitement and adrenalin. Meeting and traveling with Gary Davis and Lonnie Johnson -- even Coleman Hawkins -- armoured me against a host of disappointments. 

History today seems more like a postmodern collage; we are surrounded by two-dimensional representations of our heritage. Access via Amazon.com or iPod to all those boxed sets of old blues singers -- or Nick Drake, for that matter -- doesn't equate with the sense of discovery and connection we experienced."
art	art.html	3	quotes	999999	The Inner Life of the Artist	Edward Hopper	"Great art is the outward expression of an inner life in the artist, and this inner life will result in his personal vision of the world.
"
art	art.html	3	quotes	999999	Little I recognized as music	Joe Boyd	"Thirty years after Brighton, I walked sadly away from the New Orleans Jazz &amp; Heritage Fair. It was everything my twenty-one-year-old self might have dreamed of: 75,000 people packed into the Fairgrounds, with NPR-subscriber bags holding expertly marked programmes. America's black musical heritage was on parade across two long weekends and eight stages. But the audience was almost entirely white. The performers had learned their lessons, dropping any modernizations or slick showbiz gestures and recreating the old-time styles the sophisticated audiences craved. On one level, it demonstrated respect for a deep culture and a rejection of shallow novelty. But removed from the soil in which it grew the music felt lifeless, like actors portraying characters who happened to be their younger selves. In two days wandering from stage to stage, I heard little I recognized as music.
"
art	art.html	3	quotes	999999	The Loftiest and Purest Art	Walt Whitman	"Talk not so much, then, young artist, of the great old masters, who but painted and chisell'd. Study not only their productions. There is a still higher school for him who would kindle his fire with coal from the altar of the loftiest and purest art. It is the school of all grand actions and grand virtues, of heroism, of the death of patriots and martyrs -- of all the mighty deeds written in the pages of history -- deeds of daring, and enthusiasm, devotion, and fortitude.
"
art	art.html	3	quotes	999999	A Long Conversation	Bruce Springsteen	"At this point, I'm in the middle of a very long conversation with my audience. 

It's an ongoing dialogue about what living means. You create a space together. You are involved in an act of the imagination together, imagining the life you want to live, the kind of country you want to live in, the kind of place you want to leave to your children. What are the things that bring you ecstasy and bliss, what are the things that bring on the darkness, and what can we do together to combat those things? That's the dialogue I have in my imagination when I'm writing. I have it in front of me when I'm performing."
art	art.html	3	quotes	999999	More Popular than Jesus	John Lennon	"Christianity will go. It will vanish and shrink. I needn't argue about that; I'm right and I'll be proved right. We're more popular than Jesus now; I don't know which will go first—rock 'n' roll or Christianity. Jesus was all right but his disciples were thick and ordinary. It's them twisting it that ruins it for me.
"
art	art.html	3	quotes	999999	The Mysterious	Albert Einstein	"The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science. Whoever does not know it and can no longer wonder, no longer marvel, is as good as dead, and his eyes are dimmed. It was the experience of mystery -- even if mixed with fear -- that engendered religion. A knowledge of the existence of something we cannot penetrate, our perceptions of the profoundest reason and the most radiant beauty, which only in their most primitive forms are accessible to our minds: it is this knowledge and this emotion that constitute true religiosity. In this sense, and only this sense, I am a deeply religious man.
"
art	art.html	3	quotes	999999	Myth-Makers	Kurt Vonnegut	"It's only recently that I've come to understand that writers are not marginal to our society, that they, in fact, do all our thinking for us, that we are writing myths and our myths are believed, and that old myths are believed until someone writes a new one. 

... 

I think writers should be more responsible than they are, as we've imagined for a long time that it really doesn't matter what we say. . . . I think it's a beginning for authors to acknowledge that they are myth-makers and that if they are widely read, will have an influence that will last for many years -- I don't think that there's a strong awareness of that now, and we have such a young culture that there is an opportunity to contribute wonderful new myths to it, which will be accepted."
art	art.html	3	quotes	999999	Myths are stronger than anyone could have imagined	Yuval Noah Harari	"Myths, it transpired, are stronger than anyone could have imagined. When the Agricultural Revolution opened opportunities for the creation of crowded cities and mighty empires, people invented stories about great gods, motherlands and joint stock companies to provide the needed social links. While human evolution was crawling at its usual snail's pace, the human imagination was building astounding networks of mass cooperation, unlike any other ever seen on earth.
"
art	art.html	3	quotes	999999	Never Knew Cocaine to Improve Anything	Joe Boyd	"I listened in the studio control room as musicians' modes of consciousness-alteration proceeded from grass, hash and acid to heroin and cocaine by the 1970s. All but the latter could, on occasion, provide benefits, at least to the music. I never knew cocaine to improve anything.... I suspect that the surge in cocaine's popularity explains -- at least in part -- why so many great sixties artists made such bad records in the following decade.
"
art	art.html	3	quotes	999999	The only sensible procedure for a critic	W. H. Auden	"The only sensible procedure for a critic is to keep silent about works which he believes to be bad, while at the same time vigorously campaigning for those which he believes to be good, especially if they are being neglected or underestimated by the public.
"
art	art.html	3	quotes	999999	The original naiveté	Henri Matisse	"You study, you learn, but you guard the original naiveté. It has to be within you, as desire for drink is within the drunkard or love is within the lover. 
"
art	art.html	3	quotes	999999	Our Reply to Violence	Leonard Bernstein	"This will be our reply to violence: to make music more intensely, more beautifully, more devotedly than ever before. 
"
art	art.html	3	quotes	999999	The Power of Art	Wynton Marsalis	"When I started learning about jazz, I wasn't into any kind of art. I had no idea it could have a practical purpose. Now, more than thirty years later, I testify to the power of art, and more specifically jazz, to improve your life--and keep on improving it.
"
art	art.html	3	quotes	999999	Records we made together in the sixties	Joe Boyd	"These days most engineers confronted with a displeasing sound reach for the knobs on the console and tweak the high, mid or low frequencies. When that process is inflicted on more and more tracks of a multi-channel recording the sound passes through dozens of transistors, resulting in a narrower, more confined sound. With the added limitations of digital sound, you end up with a bright and shiny, thin and two-dimensional recording. To my ears anyway. 

When John [Wood] heard a sound he didn't like, he would lift his bulky frame off the chair and lumber down the stairs, muttering all the way. I began to be able to predict whether he was going to try a different microphone, reposition the existing one or shift the offending musician to another part of the studio. When I listen to records we made together in the sixties, I can still hear the air in the studio and the full dimension of the sounds the musicians created for us. I can hear the depth of Nick Drake's breath as well as his voice, the grit in the crude strings of Robin Williamson's <cite>gimbri</cite> and Dave Mattacks' drum technique spread out warmly in aural Technicolor across the stereo spectrum."
art	art.html	3	quotes	999999	The Songs are my Lexicon	Bob Dylan	"Here's the thing with me and the religious thing. This is the flat-out truth: I find the religiosity and philosophy in the music. I don't find it anywhere else. Songs like ""Let Me Rest on a Peaceful Mountain"" or ""I Saw the Light"" -- that's my religion. I don't adhere to rabbis, preachers, evangelists, all of that. I've learned more from the songs than I've learned from any of this kind of entity. The songs are my lexicon. I believe the songs.
"
art	art.html	3	quotes	999999	Start with romance and build to a reality	Ray Bradbury	"I think it’s part of the nature of man to start with romance and build to a reality. There’s hardly a scientist or an astronaut I’ve met who wasn’t beholden to some romantic before him who led him to doing something in life.
"
art	art.html	3	quotes	999999	The Tautness of this Resonant Connection	Herb Bowie	"No matter what the form, all art seems to produce a similar sensation -- of timelessness, of implicit order, of connectedness. It is as if the work of art had sounded some deep note, and caused sympathetic vibration in a hidden string, a string whose one end is secured in the human heart, and from there ascends towards some unknowable summit, the existence of the termination point affirmed only by the tautness of this resonant connection.
"
art	art.html	3	quotes	999999	That Magical Honeycomb of Words	Tom Robbins	"...language, that magical honeycomb of words into which human reality is forever dissolving and from which it continually reemerges, having invented itself anew. The adjective in the lotus. The jewel in the inkwell. A blue dolphin leaping from a sink of dirty dishes.
"
art	art.html	3	quotes	999999	Time is no match for Toni Morrison	Barack Obama	"Time is no match for Toni Morrison. In her writing, she sometimes toyed with it, warping and creasing it, bending it to her masterful will. In her life’s story, too, she treated time nontraditionally. A child of the Great Migration who'd lifted up new, more diverse voices in American literature as an editor, Toni's first novel wasn’t published until she was 39 years old. From there followed an ascendant career — a Pulitzer, a Nobel, and so much more — and with it, a fusion of the African American story within the American story. Toni Morrison was a national treasure. Her writing was not just beautiful but meaningful — a challenge to our conscience and a call to greater empathy. She was as good a storyteller, as captivating, in person as she was on the page. And so even as Michelle and I mourn her loss and send our warmest sympathies to her family and friends, we know that her stories — that our stories — will always be with us, and with those who come after, and on and on, for all time.
"
art	art.html	3	quotes	999999	To see a world in a grain of sand	William Blake	"To see a world in a grain of sand 
And heaven in a wild flower 
Hold infinity in the palm of your hand 
And eternity in an hour."
art	art.html	3	quotes	999999	Unbelievable Heroes	John Rogers	"There are two novels that can change a bookish fourteen-year old's life: The <cite>Lord of the Rings</cite> and <cite>Atlas Shrugged</cite>. One is a childish fantasy that often engenders a lifelong obsession with its unbelievable heroes, leading to an emotionally stunted, socially crippled adulthood, unable to deal with the real world. The other, of course, involves orcs.
"
art	art.html	3	quotes	999999	The Undisputed Sovereignty of the Human Being	Wynton Marsalis	"Jazz insists on the undisputed sovereignty of the human being. In this technological era we can easily be fooled into believing that sophisticated machines are more important than progressive humanity. That's why art is an important barometer of identity. The arts let us know who we are in all of our glory, reveal the best of who we are. All the political and financial might in the world is diminished when put to the service of an impoverished cultural agenda. We see it in our schools, in our homes, and in our world profile: rich and fat, lazy and morally corrupt, with wild, out-of-control young people. 

We all know that civilization requires a supreme effort. Our technology will become outmoded, but the technology of the human soul does not change."
art	art.html	3	quotes	999999	Vital and Significant Forms of Art	Raymond Chandler	"Nor is it any part of my thesis to maintain that it [the detective story] is a vital and significant form of art. There are no vital and significant forms of art; there is only art, and precious little of that. The growth of populations has in no way increased the amount; it has merely increased the adeptness with which substitutes can be produced and packaged.
"
art	art.html	3	quotes	999999	We All Derive From the Same Source	Henry Miller	"Every day we slaughter our finest impulses. That is why we get a heartache when we read those lines written by the hand of a master and recognize them as our own, as the tender shoots which we stifled because we lacked the faith to believe in our own powers, our own criterion of truth and beauty. Every man, when he gets quiet, when he becomes desperately honest with himself, is capable of uttering profound truths. We all derive from the same source. there is no mystery about the origin of things. We are all part of creation, all kings, all poets, all musicians; we have only to open up, only to discover what is already there.
"
art	art.html	3	quotes	999999	Why People Sing	Linda Ronstadt	"Someone once asked me why people sing. I answered they sing for many of the same reasons birds sing. They sing for a mate, to claim their territory, or simply to give voice to the delight of being alive in the midst of a beautiful day. Perhaps more than birds do, humans hold a grudge. They sing to complain of how grievously they have been wronged, and how to avoid it in the future. They sing to help themselves execute a job of work. They sing so the subsequent generations won’t forget what the current generation endured, or dreamed, or delighted in.
"
art	art.html	3	quotes	999999	Words that are empowered that make your hair stand on end	Allen Ginsberg	"Poetry is... words that are empowered that make your hair stand on end... that you recognize instantly as being some form of subjective truth that has an objective reality to it... because somebody's realized it. 
"
art	art.html	3	quotes	999999	The world is failing precisely because	Richard Powers	"To be human is to confuse a satisfying story with a meaningful one, and to mistake life for something huge with two legs. No: life is mobilized on a vastly larger scale, and the world is failing precisely because no novel can make the contest for the *world* seem as compelling as the struggles between a few lost people. 
"
balance	balance.html	3	quotes	999999	Balance is Required to Maintain Democracy	Wynton Marsalis	"Our current lack of respect for the swing can be likened to the current state of our democracy. Balance is required to maintain something as delicate as democracy, a subtle understanding of how your power can be magnified through joining with and sharing the power of another person. When that is no longer understood, it becomes a battle to see who is the strongest, who is the loudest, who can get the most attention.
"
balance	balance.html	3	quotes	999999	A Completely Free Market	Yuval Noah Harari	"In a completely free market, unsupervised by kings and priests, avaricious capitalists can establish monopolies or collude against their workforces. If there is a single corporation controlling all shoe factories in a country, or if all factory owners conspire to reduce wages simultaneously, then the labourers are no longer able to protect themselves by switching jobs.
"
balance	balance.html	3	quotes	999999	Consistency is the playground of dull minds	Yuval Noah Harari	"Just as medieval culture did not manage to square chivalry with Christianity, so the modern world fails to square liberty with equality. But this is no defect. Such contradictions are an inseparable part of every human culture. In fact, they are culture's engines, responsible for the creativity and dynamism of our species. Just as when two clashing musical notes played together force a piece of music forward, so discord in our thoughts, ideas and values compel us to think, re-evaluate and criticise. Consistency is the playground of dull minds.
"
balance	balance.html	3	quotes	999999	Continually debating people and never winning	Scott Adams	"If your view of the world is that people use reason for their important decisions, you are setting yourself up for a life of frustration and confusion. You'll find yourself continually debating people and never winning except in your own mind. Few things are as destructive and limiting as a worldview that assumes people are mostly rational.
"
balance	balance.html	3	quotes	999999	Everything had nuance	Celeste Ng	"In Pauline and Mal's house, nothing was simple. In her parents' house, things had been good or bad, right or wrong, useful or wasteful. There had been nothing in between. Here, she found, everything had nuance; everything had an unrevealed side or unexplored depths. Everything was worth looking at more closely. 
"
balance	balance.html	3	quotes	999999	A foolish consistency	Ralph Waldo Emerson	"A foolish consistency is the hobgoblin of little minds, adored by little statesmen and philosophers and divines.
"
balance	balance.html	3	quotes	999999	Fruitful tension	Trygve Throntveit	"The world around you is in flux? You’re anxious to control your destiny but yearn for the aid, comforts, and genuine recognition of a community? You wonder at the marvels of modern science but tremble at its implications of a world without God, or indeed any moral character or ideal purpose? James and Dewey sought to reconcile -- or rather, hold in fruitful tension -- the notions of unity and pluralism, change and continuity, free will and determinism, science and religion, self and society, real and ideal, and to show other people how their lives would be better if they learned to do the same.
"
balance	balance.html	3	quotes	999999	Governments losing their ability to anticipate events	Edward Luce	"Governments of all types -- democratic and authoritarian, small states and superpowers -- are losing their ability to anticipate events. They are thus losing the means to shape them. The days when national leaders could peer around the corner and head off coming dangers are receding. The best foreigh policy is conducted by calm minds in possession of the facts -- and shielded from the pressure to broadcast instant moral absolutes. The more time leaders have to weigh up their options the likelier they are to choose the right ones. The speed of technological change is working against them. 
"
balance	balance.html	3	quotes	999999	It is foolish to view realism and idealism as incompatible	John McCain	"I consider myself a realist. I have certainly seen my share of the world as it really is and not how I wish it would be. What I've learned is that it is foolish to view realism and idealism as incompatible or to consider our power and wealth as encumbered by the demands of justice, morality and conscience.
"
balance	balance.html	3	quotes	999999	The more they yearned for omnipotence	Ross MacDonald	"Blackwell was a sad and troubled man, hardly competent to play God with anybody’s life. But the sadder and more troubled they were, the more they yearned for omnipotence. The really troubled ones believed they had it.
"
balance	balance.html	3	quotes	999999	When Growth Becomes a Supreme Good	Yuval Noah Harari	"This is the fly in the ointment of free-market capitalism. It cannot ensure that profits are gained in a fair way, or distributed in a fair manner. On the contrary, the craving to increase profits and production blinds people to anything that might stand in the way. When growth becomes a supreme good, unrestricted by any other ethical considerations, it can easily lead to catastrophe.
"
balance	balance.html	3	quotes	999999	A Work Ethic Gone Mad	Matthew Stewart	"The blend of corporate mysticism and transcendental consumerism he [Tom Peters] offers has its roots planted in the pragmatic, optimistic, can-do American work ethic. But, like the Taylorist philosophy from which it springs, it is also a work ethic gone mad. It begins with the idea that work can be meaningful and stretches it to the point where there is no meaning outside work. It becomes a deluded form of optimism, a feverish activity that masks an underlying anxiety about the meaning of life, a form of self-alienation so complete that the self disappears entirely into its consumer preferences and transactions.
"
change	change.html	3	quotes	999999	Change is the one constant when it comes to culture	Wade Davis	"Change, after all, is the one constant when it comes to culture. All peoples in all places at all times are always dancing with new possibilities for life. 
"
connection	connection.html	3	quotes	999999	The better angels of our nature	Abraham Lincoln	"We are not enemies, but friends. We must not be enemies. Though passion may have strained, it must not break our bonds of affection. The mystic chords of memory, stretching from every battlefield and patriot grave to every living heart and hearthstone all over this broad land, will yet swell the chorus of the Union when again touched, as surely they will be, by the better angels of our nature.
"
connection	connection.html	3	quotes	999999	By Gifts One Makes Slaves	Peter Freuchen	"'Up in our country we are human!' said the hunter. 'And since we are human we help each other. We don't like to hear anybody say thanks for that. What I get today you may get tomorrow. Up here we say that by gifts one makes slaves and by whips one makes dogs.' 
"
connection	connection.html	3	quotes	999999	The Challenge of Swing	Wynton Marsalis	"Swing--the dance and the music--bespeaks the flexible nature of American life. In jazz, the bass walks a note on every beat. The drummer rides the cymbal or plays brushes on every beat. And everybody else invents melodies and sounds that sway with, against, and upside every beat. Every beat requires musicians to reassess their relationships to one another. This is what makes swinging so challenging. You are forced to be constantly aware of other people's feelings.
"
connection	connection.html	3	quotes	999999	Crosscutting Alliances	Steven Levitsky and Daniel Ziblatt	"Where a society's political divisions are crosscutting, we line up on different sides of issues with different people at different times. We may disagree with our neighbors on abortion but agree with them on health care; we may dislike another neighbor's views on immigration but agree with them on the need to raise the minimum wage. Such alliances help us build and sustain norms of mutual toleration. When we agree with our political rivals at least some of the time, we are less likely to view them as mortal enemies. 
"
