Date Added	Folder	Title	Content
2008-01-25 08:18:43 -0800	Quotes	Work, Soul and Life	<p>Without work, all life goes rotten. But when work is soulless, life stifles and dies. </p>
2021-04-18 10:29:16 -0700	Quotes	The Eternal Struggle for Human Rights	<p>The existence and validity of human rights are not written in the stars. The ideals concerning the conduct of men toward each other and the desirable structure of the community have been conceived and taught by enlightened individuals in the course of history. Those ideals and convictions which resulted from historical experience, from the craving for beauty and harmony, have been readily accepted in theory by man &#8211; and at all times, have been trampled upon by the same people under the pressure of their animal instincts. A large part of history is therefore replete with the struggle for those human rights, an eternal struggle in which a final victory can never be won. But to tire in that struggle would mean the ruin of society. </p>
2017-02-15 09:59:53 -0800	Quotes	A Man of Value	<p>Try to become not a man of success, but try rather to become a man of value. </p>
2008-07-13 08:55:57 -0700	Quotes	The Supreme Goal of All Theory	<p>It can scarcely be denied that the supreme goal of all theory is to make the irreducible basic elements as simple and as few as possible without having to surrender the adequate representation of a single datum of experience. </p>
2010-08-13 18:30:01 -0700	Quotes	Moral Religion	<p>The Jewish scriptures admirably illustrate the development from the religion of fear to moral religion, a development continued in the New Testament. The religions of all civilized peoples, especially the peoples of the Orient, are primarily moral religions. The development from a religion of fear to moral religion is a great step in peoples&#8217; lives. And yet, that primitive religions are based entirely on fear and the religions of civilized peoples purely on morality is a prejudice against which we must be on our guard. The truth is that all religions are a varying blend of both types, with this differentiation: that on the higher levels of social life the religion of morality predominates. </p>
2010-08-13 18:22:37 -0700	Quotes	This Highest Kind of Religious Feeling	<p>The beginnings of cosmic religious feeling already appear at an early stage of development, e.g., in many of the Psalms of David and in some of the Prophets. Buddhism, as we have learned especially from the wonderful writings of Schopenhauer, contains a much stronger element of this. The religious geniuses of all ages have been distinguished by this kind of religious feeling, which knows no dogma and no God conceived in man&#8217;s image; so that there can be no church whose central teachings are based on it. Hence it is precisely among the heretics of every age that we find men who were filled with this highest kind of religious feeling and were in many cases regarded by their contemporaries as atheists, sometimes also as saints. </p>
2010-08-15 07:52:59 -0700	Quotes	A Happy Man	<p>A happy man is too satisfied with the present to dwell too much on the future. </p>
2010-08-15 09:16:17 -0700	Quotes	Only a Human Being	<p>I am by heritage a Jew, by citizenship a Swiss, and by makeup a human being, and <em>only</em> a human being, without any special attachment to any state or national entity whatsoever. </p>
2012-11-06 04:07:51 -0800	Quotes	The Mysterious	<p>The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science. Whoever does not know it and can no longer wonder, no longer marvel, is as good as dead, and his eyes are dimmed. It was the experience of mystery &#8211; even if mixed with fear &#8211; that engendered religion. A knowledge of the existence of something we cannot penetrate, our perceptions of the profoundest reason and the most radiant beauty, which only in their most primitive forms are accessible to our minds: it is this knowledge and this emotion that constitute true religiosity. In this sense, and only this sense, I am a deeply religious man. </p>
2008-07-13 08:59:35 -0700	Quotes	To Give in the Same Measure	<p>How strange is the lot of us mortals! Each of us is here for a brief sojourn; for what purpose he knows not, though he sometimes thinks he senses it. But without deeper reflection one knows from daily life that one exists for other people &#8211; first of all for those upon whose smiles and well-being our own happiness is wholly dependent, and then for the many, unknown to us, to whose destinies we are bound by the ties of sympathy. A hundred times every day I remind myself that my inner and outer life are based on the labors of other men, living and dead, and that I must exert myself in order to give in the same measure as I have received and am still receiving&#8230;. </p>
2020-11-19 11:11:19 -0800	Quotes	Those who tolerate or encourage evil	<p>The world is in greater peril from those who tolerate or encourage evil than from those who actually commit it. </p>
2010-10-27 20:15:50 -0700	Quotes	Violent Opposition from Mediocre Minds	<p>Great spirits have always encountered violent opposition from mediocre minds. The mediocre mind is incapable of understanding the man who refuses to bow blindly to conventional prejudices and chooses instead to express his opinions courageously and honestly. </p>
2006-11-30 14:29:31 -0800	Quotes	Simplicity and Complexity	<p>Everything should be made as simple as possible, but no simpler. </p>
2006-11-30 14:29:31 -0800	Quotes	Small and Obscure Deeds	<p>Of all the will toward the ideal in mankind only a small part can manifest itself in public action. All the rest of this force must be content with small and obscure deeds. The sum of these, however, is a thousand times stronger than the acts of those who receive wide public recognition. The latter, compared to the former, are like the foam on the waves of a deep ocean. </p>
2018-06-29 08:21:25 -0700	Quotes	No person in America should be too poor to live	<p>For me, democratic socialism is about &#8211; really, the value for me is that I believe that in a modern, moral and wealthy society, no person in America should be too poor to live. </p>
2019-01-03 08:24:58 -0800	Quotes	The exercise of the intellect	<p>From the time when the exercise of the intellect became a source of strength and of wealth, we see that every addition to science, every fresh truth and every new idea became a germ of power placed within the reach of the people. </p>
2017-07-29 17:58:54 -0700	Quotes	The wonder remains	<p>Philosophy begins in wonder. And, at the end, when philosophic thought has done its best, the wonder remains. </p>
2006-11-30 14:29:31 -0800	Quotes	The Art of Progress	<p>The art of progress is to preserve order amid change, and to preserve change amid order. </p>
2020-11-24 20:28:50 -0800	Quotes	Words that are empowered that make your hair stand on end	<p>Poetry is&#8230; words that are empowered that make your hair stand on end&#8230; that you recognize instantly as being some form of subjective truth that has an objective reality to it&#8230; because somebody&#8217;s realized it. </p>
2020-08-17 07:41:04 -0700	Quotes	The modern horrors of bureaucracy	<p>Yet the people here suffered, apparently, from the fact that they were employed not by an educational institution, but by a bureaucratic system. They were all, to a large extent, clerks, neatly bound up in red tape, and, like clerks, they gave themselves the illusion of freedom by discussing and ridiculing the strictures that bound them. Kate thought lovingly of her own university, where one struggled, God knew, against the ancient sins of favoritism, flattery, and simony, but where the modern horrors of bureaucracy had not yet strangled her colleagues or herself. </p>
2021-02-09 08:24:51 -0800	Quotes	The sort of organisms that interpret and modify their agency	<p>Humans are just the sort of organisms that interpret and modify their agency through their conception of themselves. This is a complicated biological fact about us. </p>
2012-01-09 17:37:44 -0800	Quotes	A Coke is a Coke	<p>What&#8217;s great about this country is that America started the tradition where the richest consumers buy essentially the same things as the poorest. You can be watching TV and see Coca-Cola, and you know that the President drinks Coke, Liz Taylor drinks Coke, and just think, you can drink Coke, too. A Coke is a Coke and no amount of money can get you a better Coke than the one the bum on the corner is drinking. All the Cokes are the same and all the Cokes are good. Liz Taylor knows it, the President knows it, the bum knows it, and you know it. </p>
2007-11-06 07:00:58 -0800	Quotes	The Four-Fold Way	"<p>The following four principles, each based on an archetype, comprise what I call the Four-Fold Way: </p>

<ol>
<li><p><em>Show up, or choose to be present.</em> Being present allows us to access the human resources of power, presence, and communication. This is the way of the Warrior. </p></li>
<li><p><em>Pay attention to what has heart and meaning.</em> Paying attention opens us to the human resources of love, gratitude, acknowledgment, and validation. This is the way of the Healer. </p></li>
<li><p><em>Tell the truth without blame or judgment.</em> Nonjudgmental truthfulness maintains our authenticity, and develops our inner vision and intuition. This is the way of the Visionary. </p></li>
<li><p><em>Be open to outcome, not attached to outcome.</em> Openness and nonattachment help us to recover the human resources of wisdom and objectivity. This is the way of the Teacher. </p></li>
</ol>
"
2011-09-18 20:53:57 -0700	Quotes	Fuzzy Concept	<p>There is nothing worse than a brilliant image of a fuzzy concept. </p>
2017-04-21 08:41:53 -0700	Quotes	Excitement from Art	<p>The excitement we derive from a work of art is mostly the excitement of seeing connections that did not exist before, of seeing quite different aspects of life unified through a pattern. </p>
2015-07-03 13:47:05 -0700	Quotes	The Extent of Freedom in All of its Dimensions	<p>The nature of injustice is that we may not always see it in our own times. The generations that wrote and ratified the Bill of Rights and the Fourteenth Amendment did not presume to know the extent of freedom in all of its dimensions, and so they entrusted to future generations a charter protecting the right of all persons to enjoy liberty as we learn its meaning. </p>
2020-12-23 08:43:31 -0800	Quotes	We shall see the sky sparkling with diamonds	<p>We shall find peace. We shall hear the angels, we shall see the sky sparkling with diamonds. </p>
2017-02-21 11:18:01 -0800	Quotes	Accidents of birth	<p>Today Americans still feel that by and large, every individual is responsible for constructing his or her own fate &#8211; the classic pursuit of happiness &#8211; and there is still much debate in the United States about the extent to which, if at all, an individual&#8217;s success or failure is also shaped by accidents of birth. Nordic people have long ago moved beyond this debate. To most Nordics it&#8217;s completely obvious that an accident of birth, like being born into poverty or a neighborhood without a good school, can severely disadvantage an individual and destroy any chances of success, no matter what he or she does. </p>
2017-02-21 10:27:11 -0800	Quotes	Independence, freedom and opportunity for every member of society	<p>At the same time, the Nordic theory of love has become an overarching philosophy about how to structure a society. As such, it has inspired the broad variety of policy choices in the Nordic nations that together ensure a single, predominant goal: independence, freedom and opportunity for every member of society. </p>
2017-02-21 11:12:26 -0800	Quotes	Nordic societies have simply taken the job of government seriously	<p>Overall the secret to Nordic success is not complicated. Nordic societies have simply taken the job of government seriously. They make mistakes and have their troubles, but they keep tweaking their systems in search of improvements, and they work hard to balance the books. They prove that there is nothing inherent in government that automatically makes it less efficient for arranging social services than the private sector. </p>
2017-02-21 10:57:26 -0800	Quotes	The US remains astonishingly backward when it comes to education	<p>It&#8217;s an unfortunate fact that the United States remains astonishingly backward compared to almost all other advanced Western countries when it comes to education, because in America, what predicts how well a child will do in school is not a child&#8217;s aptitude or hard work, but the status of the child&#8217;s parents &#8211; which is to say, their own levels of education and wealth. Other countries suffer from this condition too, but the United States is especially anachronistic. And it&#8217;s getting worse: The influence of this wealth predictor in the United States today has only been growing stronger in recent years. </p>
2017-02-21 11:04:03 -0800	Quotes	You can simply focus on raising a human being	<p>Imagine, then, what it&#8217;s like to be a Nordic parent. You can simply focus on raising a human being, in an age-appropriate way at every stage, without ever once feeling guilty that you&#8217;re not saving enough money, or not making enough money, to secure them the college education they&#8217;ll need to avoid ending up in the gutter. </p>
2011-08-01 12:36:08 -0700	Quotes	We don't even own suits	<p>When an AT&amp;T rep suggested Jobs wear a suit to meet with AT&amp;T&#8217;s CEO, the deputy replied, &#8220;We&#8217;re Apple. We don&#8217;t wear suits. We don&#8217;t even own suits.&#8221; </p>
2018-11-08 07:19:45 -0800	Quotes	A beast or a god	<p>But he who is unable to live in society, or who has no need because he is sufficient for himself, must be either a beast or a god: he is no part of a state. A social instinct is implanted in all men by nature. </p>
2006-11-30 14:29:31 -0800	Quotes	Entertain a Thought	<p>It is the mark of an educated mind to be able to entertain a thought without accepting it. </p>
2018-12-06 18:06:16 -0800	Quotes	The welfare of the whole human race	<p>The twentieth century will be chiefly remembered by future generations not as an era of political conflicts or technical inventions, but as an age in which human society dared to think of the welfare of the whole human race as a practical objective. </p>
2009-04-02 19:50:16 -0700	Quotes	The Makers of Things	<p>In reaffirming the greatness of our nation, we understand that greatness is never a given. It must be earned. Our journey has never been one of shortcuts or settling for less. It has not been the path for the faint-hearted &#8211; for those who prefer leisure over work, or seek only the pleasures of riches and fame. Rather, it has been the risk-takers, the doers, the makers of things &#8211; some celebrated but more often men and women obscure in their labor, who have carried us up the long, rugged path towards prosperity and freedom. </p>
2021-10-25 11:23:14 -0700	Quotes	Immigration is tough, and it always has been	<p>Immigration is tough. It always has been because, on the one hand, I think we are naturally a people that wants to help others. And we see tragedy and hardship and families that are desperately trying to get here so that their kids are safe, and they&#8217;re in some cases fleeing violence or catastrophe. At the same time, we&#8217;re a nation state. We have borders. The idea that we can just have open borders is something that &#8230; as a practical matter, is unsustainable. </p>
2020-12-18 10:38:01 -0800	Quotes	No Perfect Answer	<p>The higher up you go in politics &#8211; but I think this is true of any organization &#8211; the more you will be confronted with challenges, problems, issues that do not yield a perfect answer. </p>
2009-01-20 20:47:20 -0800	Quotes	A Return to These Truths	<p>Our challenges may be new. The instruments with which we meet them may be new. But those values upon which our success depends &#8211; hard work and honesty, courage and fair play, tolerance and curiosity, loyalty and patriotism &#8211; these things are old. These things are true. They have been the quiet force of progress throughout our history. What is demanded then is a return to these truths. </p>
2021-06-02 08:28:00 -0700	Quotes	The best thing we can do is treat each other better	<p>But the point is, I guess, that my politics has always been premised on the notion that the differences we have on this planet are real. They’re profound. And they cause enormous tragedy as well as joy. But we’re just a bunch of humans with doubts and confusion. We do the best we can. And the best thing we can do is treat each other better because we’re all we’ve got. </p>
2019-08-06 08:24:45 -0700	Quotes	Time is no match for Toni Morrison	<p>Time is no match for Toni Morrison. In her writing, she sometimes toyed with it, warping and creasing it, bending it to her masterful will. In her life’s story, too, she treated time nontraditionally. A child of the Great Migration who&#8217;d lifted up new, more diverse voices in American literature as an editor, Toni&#8217;s first novel wasn’t published until she was 39 years old. From there followed an ascendant career — a Pulitzer, a Nobel, and so much more — and with it, a fusion of the African American story within the American story. Toni Morrison was a national treasure. Her writing was not just beautiful but meaningful — a challenge to our conscience and a call to greater empathy. She was as good a storyteller, as captivating, in person as she was on the page. And so even as Michelle and I mourn her loss and send our warmest sympathies to her family and friends, we know that her stories — that our stories — will always be with us, and with those who come after, and on and on, for all time. </p>
2010-07-12 15:03:19 -0700	Quotes	Notions to Explain Nature	<p>We see therefore that all the notions whereby the common people are wont to explain Nature are merely modes of imagining and denote not the nature of anything but only the constitution of the imagination. </p>
2010-07-12 15:10:39 -0700	Quotes	Freedom of Judgment	<p>Since we have the rare good fortune to live in a commonwealth where the freedom of judgment is fully granted to the individual citizen and he may worship God as he pleases, and where nothing is esteemed dearer and more precious than freedom, I think I am undertaking no ungrateful or unprofitable task in demonstrating that not only can this freedom be granted without endangering piety and the peace of the commonwealth, but also the peace of the commonwealth and piety depend on this freedom. </p>
2018-08-03 10:53:08 -0700	Quotes	The stagnation of American middle-class living standards	<p>I believe that the rising intolerance and incivility and the eroding generosity and openness that have marked important aspects of American society in the recent past have been, in significant part, a consequence of the stagnation of American middle-class living standards. </p>
2010-08-18 07:07:39 -0700	Quotes	Every Body cries, a Union is absolutely necessary	<p>Every Body cries, a Union is absolutely necessary, but when they come to the Manner and Form of the Union, their weak Noddles are perfectly distracted. </p>
2006-11-30 14:29:31 -0800	Quotes	Art is a Hammer	<p>Art is not a mirror held up to reality, but a hammer with which to shape it. </p>
2007-09-08 10:21:56 -0700	Quotes	The Celestial Teapot	<p>Many orthodox people speak as though it were the business of skeptics to disprove received dogmas rather than of dogmatics to prove them. This is, of course, a mistake. If I were to suggest that between the Earth and Mars there is a china teapot revolving about the sun in an elliptical orbit, nobody would be able to disprove my assertion provided I were careful to add that the teapot is too small to be revealed even by our most powerful telescopes. But if I were to go on to say that, since my assertion cannot be disproved, it is intolerable presumption on the part of human reason to doubt it, I should rightly be thought to be talking nonsense. If, however, the existence of such a teapot were affirmed in ancient books, taught as the sacred truth every Sunday, and instilled into the minds of children at school, hesitation to believe in its existence would become a mark of eccentricity and entitle the doubter to the attentions of the psychiatrist in an enlightened age or of the Inquisitor in an earlier time. </p>
2006-11-30 14:29:31 -0800	Quotes	Men Fear Thought	<p>Men fear thought as they fear nothing else on earth &#8211; more than ruin &#8211; more even than death&#8230;. Thought is subversive and revolutionary, destructive and terrible, thought is merciless to privilege, established institutions, and comfortable habit. Thought looks into the pit of hell and is not afraid. Thought is great and swift and free, the light of the world, and the chief glory of man. </p>
2012-08-03 23:01:54 -0700	Quotes	Ten Commandments for Teachers	"<ol>
<li><p>Do not feel absolutely certain of anything. </p></li>
<li><p>Do not think it worth while to proceed by concealing evidence, for the evidence is sure to come to light. </p></li>
<li><p>Never try to discourage thinking for you are sure to succeed. </p></li>
<li><p>When you meet with opposition, even if it should be from your husband or your children, endeavour to overcome it by argument and not by authority, for a victory dependent upon authority is unreal and illusory. </p></li>
<li><p>Have no respect for the authority of others, for there are always contrary authorities to be found. </p></li>
<li><p>Do not use power to suppress opinions you think pernicious, for if you do the opinions will suppress you. </p></li>
<li><p>Do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric. </p></li>
<li><p>Find more pleasure in intelligent dissent that in passive agreement, for, if you value intelligence as you should, the former implies a deeper agreement than the latter. </p></li>
<li><p>Be scrupulously truthful, even if the truth is inconvenient, for it is more inconvenient when you try to conceal it. </p></li>
<li><p>Do not feel envious of the happiness of those who live in a fool&#8217;s paradise, for only a fool will think that it is happiness. </p></li>
</ol>
"
2019-05-07 21:24:11 -0700	Quotes	Digging up fossil fuels and setting them alight	<p>For two hundred years, human economic activity has largely consisted of digging up fossil fuels and setting them alight, and while two hundred years seems like a long time to us, in geological terms it’s like a bat out of… well, out of hell. We’re currently injecting carbon dioxide into the atmosphere ten times faster than during the End-Permiasn, which was, just to repeat, the worst event in the earth’s history. </p>
2019-04-27 20:51:32 -0700	Quotes	The Human Experiment is Now in Question	<p>Put simply, between ecological destruction and technological hubris, the human experiment is now in question. The stakes feel very high, and the odds very long, and the trends very ominous. </p>
2021-11-29 16:00:45 -0800	Quotes	The Team, The Team, The Team	<p>We want the Big Ten championship and we&#8217;re gonna win it as a Team. They can throw out all those great backs, and great quarterbacks, and great defensive players, throughout the country and in this conference, but there&#8217;s gonna be one Team that&#8217;s gonna play solely as a Team. No man is more important than The Team. No coach is more important than The Team. The Team, The Team, The Team, and if we think that way, all of us, everything that you do, you take into consideration what effect does it have on my Team? Because you can go into professional football, you can go anywhere you want to play after you leave here. You will never play for a Team again. You&#8217;ll play for a contract. You&#8217;ll play for this. You&#8217;ll play for that. You&#8217;ll play for everything except the team, and think what a great thing it is to be a part of something that is, The Team. We&#8217;re gonna win it. We&#8217;re gonna win the championship again because we&#8217;re gonna play as team, better than anybody else in this conference, we&#8217;re gonna play together as a team. We&#8217;re gonna believe in each other, we&#8217;re not gonna criticize each other, we&#8217;re not gonna talk about each other, we&#8217;re gonna encourage each other. And when we play as a team, when the old season is over, you and I know, it&#8217;s gonna be Michigan again, Michigan. </p>
2021-09-23 13:54:11 -0700	Quotes	The Songs are my Lexicon	<p>Here&#8217;s the thing with me and the religious thing. This is the flat-out truth: I find the religiosity and philosophy in the music. I don&#8217;t find it anywhere else. Songs like &#8220;Let Me Rest on a Peaceful Mountain&#8221; or &#8220;I Saw the Light&#8221; &#8211; that&#8217;s my religion. I don&#8217;t adhere to rabbis, preachers, evangelists, all of that. I&#8217;ve learned more from the songs than I&#8217;ve learned from any of this kind of entity. The songs are my lexicon. I believe the songs. </p>
2017-05-22 15:02:48 -0700	Quotes	Living happily ever after	<p>Living happily ever after is not the end of a fairy tale. It is the common purpose that all life seeks. </p>
2018-06-27 17:56:34 -0700	Quotes	A diminishing sense of shared humanity	"<p>In grounded theory, researchers try to understand what we call &#8216;the main concern&#8217; of study participants. When it comes to belonging, I asked: What are people trying to achieve? What are they worried about? </p>

<p>The answer was surprisingly complex. They want to be a part of something &#8211; to experience real connection with others &#8211; but not at the cost of their authenticity, freedom, or power. Participants further reported feeling surrounded by &#8216;us versus them&#8217; cultures that create feelings of spiritual disconnection. When I dug deeper into what they meant by &#8216;spiritually disconnected,&#8217; the research participants described a diminishing sense of shared humanity. Over and over, participants talked about their concern that the only thing that binds us together now is shared fear and disdain, not common humanity, shared trust, respect or love. </p>"
2020-10-01 09:51:09 -0700	Quotes	Cooperative communication	<p>What allowed us to thrive while other humans went extinct was a kind of cognitive superpower: a particular type of friendliness called cooperative communication. We are experts at working together with other people, even strangers. We can communicate with someone we&#8217;ve never met about a shared goal and work together to accomplish it. </p>
2020-09-24 18:19:46 -0700	Quotes	An ultracultural species is born	<p>Domesticating a wolf brain or an ape brain is impressive. But when you domesticate a <em>human</em> brain &#8211; this is when the real magic begins. An ultracultural species is born. A unique type of friendliness must have evolved in our species that allowed for larger group sizes, higher population densities, and more amicable relations between neighboring groups that in turn created larger social networks. This encouraged the transmission of more innovations between more innovators. Cultural ratcheting went from slow and sporadic to fast and furious. The result was exponential growth in technology and the emergence of behavioral modernity. </p>
2018-10-03 19:03:18 -0700	Quotes	I learned a lot of things from failure	<p>I learned a lot of things from failure. When you play 162 games, I don&#8217;t think any sport emulates life like baseball. You play football once a week or basketball twice. But you start playing baseball, you play every day, day in and day out. And you understand in a hurry that you&#8217;re going to have bad days and bad nights. You&#8217;re going to have bad weeks, and you just have to make up your mind that, hey, tomorrow&#8217;s tomorrow, and you forget about it. </p>
2007-12-02 13:10:14 -0800	Quotes	A Long Conversation	"<p>At this point, I&#8217;m in the middle of a very long conversation with my audience. </p>

<p>It&#8217;s an ongoing dialogue about what living means. You create a space together. You are involved in an act of the imagination together, imagining the life you want to live, the kind of country you want to live in, the kind of place you want to leave to your children. What are the things that bring you ecstasy and bliss, what are the things that bring on the darkness, and what can we do together to combat those things? That&#8217;s the dialogue I have in my imagination when I&#8217;m writing. I have it in front of me when I&#8217;m performing. </p>"
2009-01-23 06:17:23 -0800	Quotes	The Trick in Keeping Bands Together	<p>The trick in keeping bands together is always the same: &#8216;Hey, asshole, the guy standing next to you is more important than you think he is.&#8217; </p>
2014-12-06 13:20:17 -0800	Quotes	The Enormous Extension of our Being	<p>Those of us who have been true readers all our life seldom fully realize the enormous extension of our being which we owe to authors. We realize it best when we talk with an unliterary friend. He may be full of goodness and good sense but he inhabits a tiny world. In it, we should be suffocated. The man who is contented to be only himself, and therefore less a self, is in prison. My own eyes are not enough for me, I will see through those of others. Reality, even seen through the eyes of many, is not enough. I will see what others have invented. Even the eyes of all humanity are not enough. I regret that the brutes cannot write books. Very gladly would I learn what face things present to a mouse or a bee; more gladly still would I perceive the olfactory world charged with all the information and emotion it carries for a dog. </p>
2022-05-25 12:45:08 -0700	Quotes	Mastery of Inner and Outer Worlds	<p>Mastery of the inner world, with a relative contempt for the outer, must inevitably lead to great catastrophe. Mastery of the outer world, to the exclusion of the inner, delivers us over to the demonic forces of the latter, and keeps us barbaric despite all outward forms of culture. </p>
2018-04-09 16:46:51 -0700	Quotes	Bathing in mystery and confusion	<p>I don’t mean to suggest that we have the final answers; we are bathing in mystery and confusion on many subjects, and I think that will always be our destiny. The universe will always be much richer than our ability to understand it. </p>
2017-12-05 09:12:14 -0800	Quotes	Books are key to understanding the world	"<p>For 99 percent of the tenure of humans on earth, nobody could read or write. The great invention had not yet been made. Except for firsthand experience, almost everything we knew was passed on by word of mouth. As in the children&#8217;s game &#8220;Telephone,&#8221; over tens and hundreds of generations, information would slowly be distorted and lost. </p>

<p>Books changed all that. Books, purchasable at low cost, permit us to interrogate the past with high accuracy; to tap the wisdom of our species; to understand the point of view of others, and not just those in power; to contemplate &#8211; with the best teachers &#8211; the insights, painfully extracted from Nature, of the greatest minds that ever were, drawn from the entire planet and from all of our history. They allow people long dead to talk inside our heads. Books can accompany us everywhere. Books are patient where we are slow to understand, allow us to go over the hard parts as many times as we wish, and are never critical of our lapses. </p>

<p>Books are key to understanding the world and participating in a democratic society. </p>"
2007-10-08 19:40:58 -0700	Quotes	Apes and Humans	<p>Philosophers and scientists confidently offer up traits said to be uniquely human, and the apes casually knock them down &#8211; toppling the pretension that humans constitute some sort of biological aristocracy among the beings of Earth. Instead, we are more like the nouveau riche, incompletely accommodated to our recent exalted state, insecure about who we are, and trying to put as much distance as possible between us and our humble origins. </p>
2007-10-08 19:33:03 -0700	Quotes	Chimps and Humans	<p>On the basis of all the evidence, the closest relative of the human proves to be the chimp. The closest relative of the chimp is the human. Not orangs, but people. Us. Chimps and humans are nearer kin than are chimps and gorillas or any other kinds of ape not of the same species. </p>
2020-08-04 10:17:36 -0700	Quotes	Everything had nuance	<p>In Pauline and Mal&#8217;s house, nothing was simple. In her parents&#8217; house, things had been good or bad, right or wrong, useful or wasteful. There had been nothing in between. Here, she found, everything had nuance; everything had an unrevealed side or unexplored depths. Everything was worth looking at more closely. </p>
2019-06-10 07:20:44 -0700	Quotes	Selfish and contentious people will not cohere	<p>Selfish and contentious people will not cohere and without coherence nothing can be effected. </p>
2018-05-20 13:21:32 -0700	Quotes	To simply see human beings	<p>If I ask you all today to look around and tell me who you see&#8230;. When you look around, I don&#8217;t want you to see black, white, Asian, I don&#8217;t want you to wonder if a person is Democrat or Republican, gay or straight. When you look around, I just want you to simply see human beings &#8211; nothing more, nothing less. And I guarantee you, if you can begin to see people that way, just as human beings, you&#8217;ll begin to treat them a little differently, you&#8217;ll begin to understand their points of view. </p>
2008-10-18 11:12:38 -0700	Quotes	Model II Decision-Making	<p>Model II encourages the individual to maximize his uniqueness. If, in doing so, he should arrive at goals that differ from those developed by others, he will have done so under conditions of openness, trust and risk-taking. The individual would therefore feel free to discuss his differences openly with the group. Moreover, if the individual is in a subordinate power position, and if he feels he had adequate opportunity to dissuade the group and that the group publicly confronted and tested all differences, then the individual will probably be motivated to work toward the group goal but still be motivated to generate new information that may change the group&#8217;s decision. This means that one can be externally committed to a decision and internally committed to the decision-making processes that produced the decision yet simultaneously monitor the consequences of the decision thoroughly to seek new, valid information to reconfront the decision without being considered disloyal. In the model-II world, conflicts do not disappear&#8211;indeed, the illusion of conflict disappearing is more typical of the model-I world, in which conflicts are settled by power plays based on sanctions, charisma or loyalty. </p>
2008-10-16 20:49:39 -0700	Quotes	Model II Values	<p>Clearly, Model II touches on values that are central to social life and to the traditions of moral philosophy: freedom of choice, truth and testability, the nature of commitment, the possibilities for and limitations on openness in communication among individuals, the basis for trust and cooperation among human beings, the sources of long-term personal effectiveness. </p>
